"filename", "language", "JSON with Comments", "CSS", "JavaScript", "JSON", "Markdown", "TypeScript", "TypeScript React", "comment", "blank", "total"
"c:\Users\guill\Documents\Code\Projects\Goomba\goomba_v2\README.md", "Markdown", 0, 0, 0, 0, 15, 0, 0, 0, 9, 24
"c:\Users\guill\Documents\Code\Projects\Goomba\goomba_v2\components\Footer\Footer.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\guill\Documents\Code\Projects\Goomba\goomba_v2\components\Footer\Footer.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 16, 0, 2, 18
"c:\Users\guill\Documents\Code\Projects\Goomba\goomba_v2\components\Header\Header.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\guill\Documents\Code\Projects\Goomba\goomba_v2\components\Header\Header.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 64, 0, 18, 82
"c:\Users\guill\Documents\Code\Projects\Goomba\goomba_v2\lib\getVideo.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 1, 3, 10
"c:\Users\guill\Documents\Code\Projects\Goomba\goomba_v2\lib\getVideos.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 1, 3, 10
"c:\Users\guill\Documents\Code\Projects\Goomba\goomba_v2\next-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 4, 2, 6
"c:\Users\guill\Documents\Code\Projects\Goomba\goomba_v2\next.config.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 1, 1, 5
"c:\Users\guill\Documents\Code\Projects\Goomba\goomba_v2\package-lock.json", "JSON", 0, 0, 0, 3033, 0, 0, 0, 0, 1, 3034
"c:\Users\guill\Documents\Code\Projects\Goomba\goomba_v2\package.json", "JSON", 0, 0, 0, 30, 0, 0, 0, 0, 1, 31
"c:\Users\guill\Documents\Code\Projects\Goomba\goomba_v2\pages\[...url].tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 30, 0, 8, 38
"c:\Users\guill\Documents\Code\Projects\Goomba\goomba_v2\pages\[channel].tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 40, 0, 10, 50
"c:\Users\guill\Documents\Code\Projects\Goomba\goomba_v2\pages\_app.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 6, 0, 3, 9
"c:\Users\guill\Documents\Code\Projects\Goomba\goomba_v2\pages\_document.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"c:\Users\guill\Documents\Code\Projects\Goomba\goomba_v2\pages\about.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 31, 0, 4, 35
"c:\Users\guill\Documents\Code\Projects\Goomba\goomba_v2\pages\api\hello.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 1, 3, 14
"c:\Users\guill\Documents\Code\Projects\Goomba\goomba_v2\pages\features.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 46, 0, 8, 54
"c:\Users\guill\Documents\Code\Projects\Goomba\goomba_v2\pages\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 99, 0, 26, 125
"c:\Users\guill\Documents\Code\Projects\Goomba\goomba_v2\pages\results.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 45, 0, 10, 55
"c:\Users\guill\Documents\Code\Projects\Goomba\goomba_v2\pages\videos\[videoID].tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 40, 0, 10, 50
"c:\Users\guill\Documents\Code\Projects\Goomba\goomba_v2\pages\watch.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 40, 0, 9, 49
"c:\Users\guill\Documents\Code\Projects\Goomba\goomba_v2\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\guill\Documents\Code\Projects\Goomba\goomba_v2\public\images\site.webmanifest", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\guill\Documents\Code\Projects\Goomba\goomba_v2\styles\globals.css", "CSS", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\guill\Documents\Code\Projects\Goomba\goomba_v2\tailwind.config.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 1, 1, 30
"c:\Users\guill\Documents\Code\Projects\Goomba\goomba_v2\tsconfig.json", "JSON with Comments", 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"Total", "-", 20, 3, 37, 3064, 15, 22, 469, 9, 138, 3777
